,footlength,Age,weightkg,stature,waistbreadth/chestbreadth,error,waistcircumference
438,299,20,795,1859,0.9755244755244755,16.1558837890625,799
439,282,20,859,1740,1.1354166666666667,17.3828125,933
440,266,19,694,1704,1.068592057761733,2.7342529296875,808
441,275,21,1075,1807,1.1832797427652733,2.130615234375,1070
442,276,18,657,1718,0.9890510948905109,-1.82818603515625,753
443,272,19,690,1750,0.9965156794425087,29.365234375,803
444,259,36,700,1716,1.0815602836879432,13.59991455078125,863
445,284,31,842,1770,1.083623693379791,-18.38446044921875,878
446,289,21,949,1865,1.0381944444444444,-47.56207275390625,850
447,272,20,715,1759,1.1140684410646389,-18.0640869140625,815
448,297,29,1010,1926,1.0434782608695652,-67.96484375,884
449,265,27,700,1705,1.1857707509881423,-47.88714599609375,826
450,290,24,825,1781,1.195945945945946,58.72802734375,975
451,274,22,810,1766,1.0918727915194346,-10.84246826171875,865
452,274,22,807,1814,1.1455223880597014,14.51568603515625,895
453,281,21,819,1830,1.111913357400722,-18.260009765625,848
